name,type
Каштан,Япроқ баргли дарахт 
Клён (заранг),Япроқ баргли дарахт 
Дуб (эман),Япроқ баргли дарахт 
Липа,Япроқ баргли дарахт 
Акация,Япроқ баргли дарахт 
Айланд,Япроқ баргли дарахт 
қоғоз дарахти ( бумажное дерево),Япроқ баргли дарахт 
Гледичия,Япроқ баргли дарахт 
Қайрағоч,Япроқ баргли дарахт 
Катальпа,Япроқ баргли дарахт 
Япон сафораси,Япроқ баргли дарахт 
Терак,Япроқ баргли дарахт 
Ясен (шумтол),Япроқ баргли дарахт 
Совун дарахти,Япроқ баргли дарахт 
Багрянник,Япроқ баргли дарахт 
Белая берёза,Япроқ баргли дарахт 
Лох(жийда),Япроқ баргли дарахт 
Можжевелник,Игна баргли дарахт 
Шарқ туяси,Игна баргли дарахт 
Элдор қарағай,Игна баргли дарахт 
Қора қарағай,Игна баргли дарахт 
Қрим қарағай,Игна баргли дарахт 
Ель голубая,Игна баргли дарахт 
Аморфа ,Буталар
Брючина блестящая,Буталар
Барбарис,Буталар
Бересклет,Буталар
Бузина чёрная,Буталар
Индийская сирень,Буталар
Испаский дрок,Буталар
Калина ,Буталар
Магония,Буталар
Пираканта,Буталар
Форзиция ,Буталар
Роза,Буталар
Сирийская роза,Буталар
Снежноягодник белый,Буталар
Сирень обикновенное,Буталар
Самшит ,Буталар
Скумпия,Буталар
Сумах,Буталар
