,organization,region
0,"УП ""Каракалпакйулкукалам""",Қорақалпоқ
1,"УП ""Aндижанйулкукалам""",Андижон
2,"УП ""Бухарайулкукалам""",Бухоро
3,"УП ""Джизакйулкукалам""",Жиззах
4,"УП ""Кашкадарьяйулкукалам""",Қашқадарё
5,"УП ""Навоийулкукалам""",Навои
6,"УП ""Намангайулкукалам""",Наманган
7,"УП ""Самаркандйулкукалам""",Самарқанд
8,"УП ""Сурхандарьяйулкукалам""",Сурхондарё
9,"УП ""Сырдарьяйулкукалам""",Сирдарё
10,"УП ""Ташкентйулкукалам""",Тошкент вилояти
11,"УП ""Ферганайулкукалам""",Фарғона
12,"УП ""Хорезмйулкукалам""",Хоразм
13,"УП ""Пойтахтйулкукалам""",Тошкент шаҳри
